"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "HTML", "PHP", "comment", "blank", "total"
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\index.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\neto-floating-widget.php", "PHP", 0, 0, 0, 0, 0, 234, 25, 41, 300
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\package-lock.json", "JSON", 0, 0, 0, 2420, 0, 0, 0, 1, 2421
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\package.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\postcss.config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\chatbot.config.js", "JavaScript", 171, 0, 0, 0, 0, 0, 14, 8, 193
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\components\Chat\FloatingWidget.jsx", "JavaScript JSX", 0, 0, 262, 0, 0, 0, 26, 42, 330
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\components\Chat\GridPiezas.jsx", "JavaScript JSX", 0, 0, 82, 0, 0, 0, 30, 19, 131
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\components\Chat\PriceDisplay.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 12, 5, 39
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\components\Chat\chatLabels.js", "JavaScript", 80, 0, 0, 0, 0, 0, 32, 24, 136
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\hooks\botLogic.js", "JavaScript", 64, 0, 0, 0, 0, 0, 36, 16, 116
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\hooks\useBotMemory.js", "JavaScript", 21, 0, 0, 0, 0, 0, 15, 6, 42
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\hooks\useChatDOMInjector.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 19, 22, 124
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\index.css", "PostCSS", 0, 123, 0, 0, 0, 0, 21, 16, 160
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\main.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 4, 3, 17
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\utils\chatSession.js", "JavaScript", 61, 0, 0, 0, 0, 0, 16, 16, 93
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\src\utils\formatMoney.js", "JavaScript", 31, 0, 0, 0, 0, 0, 15, 9, 55
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\tailwind.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\estud\OneDrive\Escritorio\Neto-prueba1 - AG\vite.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"Total", "-", 451, 123, 459, 2448, 12, 234, 265, 235, 4227
